Order,UnitID,CoderID,TVO_Cons_SP,TVO_Busi_SP,TVO_Inst_SP,T_SP,AVO_Cons_SP,AVO_Busi_SP,AVO_Ins_SP,ASusPo,IVO_Cons_SP,IVO_Bus_SP,IVO_Ins_SP,ISusPo,DVO_Cons_SP,DVO_Busi_SP,DVO_Ins_SP,D_SP,CVO_Con_SP,CVO_Busi_SP,CVO_Inst_SP,C_SP,OVO_Cons_Self,OVO_Cons_Soc,OVO_Cons_Env,OVO_Cons_SP,OVO_Busi_Prof,OVO_Busi_Soc,OVO_Busi_Env,OVO_Busi_SP,OVO_Inst_Growth,OVO_Inst_Soc,OVO_Inst_Env,OVO_Inst_SP,O_SP
42,LNIR_10_2,RG,1,,,2,2,3,,3,2,3,,3,2,3,,3,2,,,3,1,1,1,2,1,1,1,3,,,,,3
42,LNIR_10_2,SP,1,,,2,2,3,,3,2,3,,3,2,3,,3,2,,,3,1,1,1,2,1,1,1,3,,,,,3
43,KB_15_2,RG,0,,,0,3,3,3,3,3,3,3,3,3,3,,3,3,,,3,1,0,1,3,1,0,1,3,,,,,3
43,KB_15_2,SP,0,,,0,3,3,3,3,3,3,3,3,3,3,,3,3,,,3,1,0,1,3,1,0,1,3,,,,,3
44,HKRWJ_16_2,RG,,0,,0,,3,,4,2,4,3,4,,4,,4,,,,,,,,,1,0,1,4,,,,,4
44,HKRWJ_16_2,SP,,0,,0,,3,,3,2,3,3,3,,3,,3,,,,,,,,,1,0,1,3,,,,,3
45,GCCH_16_2,RG,2,3,,3,3,3,,3,3,3,,3,3,3,,3,,,,,1,1,1,3,1,0,1,3,,,,,3
45,GCCH_16_2,SP,2,3,,3,3,3,,3,3,3,,3,3,3,,3,,,,,1,1,1,3,1,0,1,3,,,,,3
46,ESSMW_18_2,RG,0,,,0,3,3,,2,3,3,,3,3,3,,3,,,,,1,1,1,3,1,1,1,3,,,,,3
46,ESSMW_18_2,SP,0,,,0,3,3,,2,3,3,,3,3,3,,3,,,,,1,1,1,3,1,1,1,3,,,,,3
47,CB_21_2,RG,,3,,3,3,3,,4,3,3,,4,3,3,,4,,,,,1,1,1,3,1,1,1,3,,,,,4
47,CB_21_2,SP,,3,,3,3,3,,4,3,3,,4,3,3,,4,,,,,1,1,1,3,1,1,1,3,,,,,4
48,CGLZ_19_2,RG,0,,0,0,3,,3,3,3,,3,3,3,,3,3,,,,,1,0,1,3,,,,,0,0,1,3,3
48,CGLZ_19_2,SP,0,,0,0,3,,3,3,3,,3,3,3,,3,3,,,,,1,0,1,3,,,,,0,0,1,3,3
49,CW_13_2,RG,2,,,2,1,,,2,2,,2,2,2,,,2,,,,,1,0,1,2,,,,,,,,,2
49,CW_13_2,SP,2,,,2,1,,,1,2,,2,2,2,,,2,,,,,1,0,1,2,,,,,,,,,2
50,FHN_22_2,RG,,3,,0,,3,,3,,3,,3,,3,,4,,,,,,,,,1,1,1,3,,,,,3
50,FHN_22_2,SP,,3,,0,,3,,3,,3,,3,,3,,4,,,,,,,,,1,1,1,3,,,,,3
51,BWMIG_16_2,RG,2,,,2,2,,,3,2,,,2,2,,,3,,,,,1,0,1,2,,,,,,,,,3
51,BWMIG_16_2,SP,2,,,2,2,,,3,2,,,2,2,,,3,,,,,1,0,1,2,,,,,,,,,3
11,GGDN_18,RG,,0,4,0,,1,3,2,,1,3,2,,2,3,2,,,,,,,,,1,0,1,2,1,0,1,3,2
11,GGDN_18,SP,,0,4,0,,1,3,2,,1,3,2,,2,3,2,,,,,,,,,1,0,1,2,1,0,1,3,2
12,GJSGS_21,RG,1,,,3,1,,2,3,1,,2,3,1,,2,4,,,,,1,0,0,1,,,,,0,1,1,2,4
12,GJSGS_21,SP,1,,,3,1,,2,4,1,,2,4,1,,2,4,,,,,1,0,0,1,,,,,0,1,1,2,4
13,GPL_22,RG,4,,,3,4,,,4,3,,,4,2,1,1,4,,,,,1,0,0,2,1,0,0,1,1,0,0,1,4
13,GPL_22,SP,4,,,4,4,,,4,3,,,4,1,1,1,4,,,,,1,0,0,1,1,0,0,1,1,0,0,1,4
14,GWS_19,RG,0,,,4,4,,1,3,4,1,2,3,4,2,1,3,,,,,1,1,1,4,1,0,0,1,1,0,1,1,3
14,GWS_19,SP,0,,,4,4,,1,3,4,1,2,3,4,2,1,3,,,,,1,1,1,4,1,0,0,1,1,0,1,1,3
15,HWN_14,RG,0,0,,3,2,,,2,2,3,,2,2,3,,2,,,,,1,0,1,2,,,,,,,,,2
15,HWN_14,SP,0,0,,3,3,,,3,2,3,,3,2,3,,3,,,,,1,0,1,2,,,,,,,,,3
16,HOGS_21,RG,,,3,2,1,,3,2,3,3,3,2,1,,3,2,,,,,1,0,0,1,,,,,1,0,1,3,2
16,HOGS_21,SP,,0,3,2,1,,3,2,2,3,3,2,1,,3,2,,,,,1,0,0,1,,,,,1,0,1,3,2
17,IS_16,RG,,0,,3,2,2,,2,3,2,,2,2,2,,2,,,,,1,0,1,3,1,0,1,3,,,,,2
17,IS_16,SP,,0,,3,2,2,,2,3,3,,2,2,2,,2,,,,,1,0,1,3,1,0,1,3,,,,,2
18,KFH_13,RG,,,,3,3,,,3,1,,,3,3,,,3,,,,,1,0,1,3,,,,,,,,,3
18,KFH_13,SP,,,,3,2,,,3,1,,,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
19,KLZ_16,RG,,0,,0,,3,,3,,3,,3,,3,,3,,,,,,,,,1,0,1,3,,,,,3
19,KLZ_16,SP,,0,,0,,3,,3,,3,,3,,3,,3,,,,,,,,,1,0,1,3,,,,,3
20,LKM_13,RG,,0,,0,,3,,3,,2,,3,,2,,3,,2,,3,,,,,1,0,1,2,,,,,3
20,LKM_13,SP,,0,,0,,3,,2,,2,,2,,2,,3,,2,,3,,,,,1,0,1,2,,,,,3
21,MCH_21,RG,0,,,3,1,2,,3,1,2,,3,1,2,,3,,,,,1,0,0,1,1,0,0,2,,,,,3
21,MCH_21,SP,0,,,3,1,1,,3,1,1,,3,1,1,,3,,,,,1,0,0,1,1,0,0,1,,,,,3
22,NLPS_22,RG,,3,,3,4,3,,3,3,3,,3,3,3,,3,,3,,3,0,1,1,3,1,1,1,3,,,,,3
22,NLPS_22,SP,,3,,2,3,3,,2,3,3,,3,3,3,,3,,3,,3,0,1,1,3,1,1,1,3,,,,,3
23,O_13,RG,2,,,2,2,,,3,2,,,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
23,O_13,SP,2,,,2,2,,,2,2,,,2,2,,,3,,,,,1,0,1,2,,,,,,,,,3
24,OSC_14,RG,2,2,,2,3,3,,3,3,3,,3,3,3,,3,,,,,1,0,1,2,1,0,1,3,,,,,3
24,OSC_14,SP,2,2,,2,3,3,,3,2,3,,3,2,3,,3,,,,,1,0,1,2,1,0,1,3,,,,,3
25,P_20,RG,,0,,3,4,,,4,4,1,,3,4,,,3,,,,,1,1,1,4,,,,,,,,,3
25,P_20,SP,,0,,0,4,,,4,4,1,,3,4,,,3,,,,,1,1,1,4,,,,,,,,,3
26,PWS_13,RG,3,,,4,3,3,,3,3,3,,3,3,,,3,,,,,1,1,1,3,1,1,1,3,,,,,3
26,PWS_13,SP,3,,,4,3,3,,3,3,3,,3,3,,,3,,,,,1,1,1,3,1,1,1,3,,,,,3
27,RIZE_18,RG,1,,,0,1,,,3,2,,,3,2,,,3,,,,,1,1,1,2,,,,,,,,,3
27,RIZE_18,SP,1,,,0,1,,,3,2,,,3,2,,,3,,,,,1,1,1,2,,,,,,,,,3
28,RMB_21,RG,,,,0,2,,,3,1,,,3,1,,,2,,,,,1,0,0,1,,,,,,,,,2
28,RMB_21,SP,,,,0,1,,,2,1,,,2,1,,,2,,,,,1,0,0,1,,,,,,,,,2
29,SAEDS_21,RG,,3,,3,,3,,3,2,3,,3,2,3,,4,,,,,1,1,0,2,1,1,1,3,,,,,4
29,SAEDS_21,SP,,3,,3,,3,,3,2,3,,3,2,3,,3,,,,,1,1,0,2,1,1,1,3,,,,,3
30,SBP_21,RG,3,,,4,3,,,3,2,1,,3,1,,,3,1,2,,3,1,0,0,1,1,0,0,1,,,,,3
30,SBP_21,SP,3,,,4,3,,,3,2,1,,3,1,,,3,1,2,,3,1,0,0,1,1,0,0,1,,,,,3
31,SSC_22,RG,0,3,,3,2,3,,3,2,3,,3,3,3,,3,2,3,,3,1,0,1,2,1,0,1,3,,,,,3
31,SSC_22,SP,0,3,,3,2,3,,3,2,3,,3,2,3,,3,2,3,,3,1,0,1,2,1,0,1,3,,,,,3
32,ST_17,RG,0,,,2,2,,,3,2,,3,3,2,,,3,2,,,3,1,0,1,2,,,,,,,,,3
32,ST_17,SP,0,,,2,2,,,3,2,,3,3,2,,,3,2,,,3,1,0,1,2,,,,,,,,,3
33,TAM_16,SP,0,,,0,3,,,3,3,,,3,3,,,3,,,,,1,0,1,3,,,,,,,,,3
33,TAM_16,RG,0,,,0,3,,,3,2,,,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
34,TB_21,RG,3,,,3,2,3,,3,2,,,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
34,TB_21,SP,3,,,3,2,,,3,2,,,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
35,VPK_21,RG,1,,,2,3,3,,3,1,3,,4,2,3,,4,,,,,1,0,1,2,1,1,1,3,,,,,4
35,VPK_21,SP,1,,,0,3,3,,3,1,3,,4,2,3,,4,,,,,1,0,1,2,1,1,1,3,,,,,4
36,WKM_17,SP,0,0,,0,2,2,,3,2,3,,3,2,3,,3,,,,,1,0,1,2,1,0,1,3,,,,,3
36,WKM_17,RG,3,0,,3,2,3,,3,2,2,,3,2,2,,3,,,,,1,0,1,2,1,0,1,2,,,,,3
37,WNG_19,RG,0,,,2,3,,,3,2,3,3,3,3,3,,3,,,,3,0,0,1,3,0,0,1,3,0,0,1,3,3
37,WNG_19,SP,0,,,3,3,,,3,2,3,3,3,3,3,,3,,,,3,0,0,1,3,0,0,1,3,0,0,1,3,3
38,WS_13,RG,0,,,3,2,,,3,1,,3,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
38,WS_13,SP,0,,,3,2,,,3,1,,3,3,2,,,3,,,,,1,0,1,2,,,,,,,,,3
39,YKC_21,RG,0,,,0,2,,,2,2,,,3,2,,,3,,,,,1,1,1,2,,,,,,,,,3
39,YKC_21,SP,0,,,0,2,,,3,2,,,3,2,,,3,,,,,1,1,1,2,,,,,,,,,3
40,ZCK_21,RG,3,,,0,2,2,,2,2,,,2,2,,,2,,,,,1,0,1,2,,,,,,,,,2
40,ZCK_21,SP,3,,,0,2,3,,3,1,,,2,1,,,2,,,,,1,0,0,1,,,,,,,,,2
41,ZIR_16,RG,1,,,2,1,,,3,1,,,3,1,,,3,,,,,1,0,0,1,,,,,,,,,3
41,ZIR_16,SP,1,,,0,1,,,3,1,,,3,1,,,3,,,,,1,0,0,1,,,,,,,,,3